Protein IDs,Majority protein IDs,Gene names,Protein names,Peptides,Sequence coverage [%],Mol. weight [kDa]
P36957,P36957,DLST,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",21,53.6,48.755
P36969,P36969,GPX4,"Phospholipid hydroperoxide glutathione peroxidase, mitochondrial",7,40.1,22.174
P37108,P37108,SRP14,Signal recognition particle 14 kDa protein,5,36.0,14.57
P37198,P37198,NUP62,Nuclear pore glycoprotein p62,6,19.2,53.254
P37235;P84074,P37235,HPCAL1,Hippocalcin-like protein 1,11,63.7,22.313
P37268,P37268,FDFT1,Squalene synthase,15,40.5,48.115
P37275,P37275,ZEB1,Zinc finger E-box-binding homeobox 1,5,6.4,124.07
P37802,P37802,TAGLN2,Transgelin-2,16,81.4,22.391
P37837,P37837,TALDO1,Transaldolase,16,46.6,37.54
P37840;Q16143,P37840,SNCA,Alpha-synuclein,4,41.4,14.46
P38117,P38117,ETFB,Electron transfer flavoprotein subunit beta,20,62.0,27.843
P38159;O75526;Q8N7X1,P38159,RBMX,"RNA-binding motif protein, X chromosome;RNA-binding motif protein, X chromosome, N-terminally processed",13,34.3,42.331
P38405,P38405,GNAL,Guanine nucleotide-binding protein G(olf) subunit alpha,5,15.5,44.308
P38432,P38432,COIL,Coilin,5,11.3,62.608
P38435,P38435,GGCX,Vitamin K-dependent gamma-carboxylase,3,4.7,87.56
P38571,P38571,LIPA,Lysosomal acid lipase/cholesteryl ester hydrolase,2,5.3,45.418
P38606,P38606,ATP6V1A,V-type proton ATPase catalytic subunit A,27,49.1,68.303
P38646,P38646,HSPA9,"Stress-70 protein, mitochondrial",41,59.2,73.68
P38919,P38919,EIF4A3,"Eukaryotic initiation factor 4A-III;Eukaryotic initiation factor 4A-III, N-terminally processed",19,57.2,46.871
P38935,P38935,IGHMBP2,DNA-binding protein SMUBP-2,3,3.6,109.15
P39019,P39019,RPS19,40S ribosomal protein S19,11,64.8,16.06
P39023;Q92901,P39023,RPL3,60S ribosomal protein L3,20,46.4,46.108
P39060,P39060,COL18A1,Collagen alpha-1(XVIII) chain;Endostatin,11,7.9,178.19
P39210,P39210,MPV17,Protein Mpv17,3,22.7,19.733
P39656,P39656,DDOST,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,14,35.3,50.8
P39687;O43423;O95626,P39687,ANP32A,Acidic leucine-rich nuclear phosphoprotein 32 family member A,9,36.5,28.585
P39748,P39748,FEN1,Flap endonuclease 1,11,39.7,42.592
P39880,P39880,CUX1,Homeobox protein cut-like 1,7,5.8,164.19
P39905,P39905,GDNF,Glial cell line-derived neurotrophic factor,4,24.2,23.72
P40121,P40121,CAPG,Macrophage-capping protein,8,34.8,38.498
P40123,P40123,CAP2,Adenylyl cyclase-associated protein 2,14,34.0,52.823
P40189,P40189,IL6ST,Interleukin-6 receptor subunit beta,5,8.2,103.54
P40222,P40222,TXLNA,Alpha-taxilin,11,29.9,61.89
P40227,P40227,CCT6A,T-complex protein 1 subunit zeta,26,55.0,58.024
P40261,P40261,NNMT,Nicotinamide N-methyltransferase,6,30.3,29.574
P40337,P40337,VHL,Von Hippel-Lindau disease tumor suppressor,1,6.6,24.152
P40424,P40424,PBX1,Pre-B-cell leukemia transcription factor 1,9,30.2,46.625
P40425;Q9BYU1,P40425,PBX2,Pre-B-cell leukemia transcription factor 2,6,21.2,45.881
P40426,P40426,PBX3,Pre-B-cell leukemia transcription factor 3,7,25.1,47.189
P40429;Q6NVV1,P40429,RPL13A,60S ribosomal protein L13a,14,48.8,23.577
P40616,P40616,ARL1,ADP-ribosylation factor-like protein 1,4,30.9,20.417
P40692,P40692,MLH1,DNA mismatch repair protein Mlh1,14,22.9,84.6
P40763,P40763,STAT3,Signal transducer and activator of transcription 3,23,44.2,88.067
P40818,P40818,USP8,Ubiquitin carboxyl-terminal hydrolase 8,15,15.2,127.52
P40855,P40855,PEX19,Peroxisomal biogenesis factor 19,10,43.1,32.806
P40925,P40925,MDH1,"Malate dehydrogenase, cytoplasmic",12,38.9,36.426
P40926,P40926,MDH2,"Malate dehydrogenase, mitochondrial",21,65.1,35.503
P40937,P40937,RFC5,Replication factor C subunit 5,6,21.8,38.496
P40938,P40938,RFC3,Replication factor C subunit 3,6,21.6,40.556
P40939,P40939,HADHA,"Trifunctional enzyme subunit alpha, mitochondrial;Long-chain enoyl-CoA hydratase;Long chain 3-hydroxyacyl-CoA dehydrogenase",38,58.7,82.999
P41091;Q2VIR3,P41091;Q2VIR3,EIF2S3;EIF2S3L,Eukaryotic translation initiation factor 2 subunit 3;Putative eukaryotic translation initiation factor 2 subunit 3-like protein,22,49.4,51.109
P41208;Q12798,P41208,CETN2,Centrin-2,7,52.3,19.738
P41214,P41214,EIF2D,Eukaryotic translation initiation factor 2D,4,11.1,64.706
P41217,P41217,CD200,OX-2 membrane glycoprotein,3,19.8,31.264
P41219,P41219,PRPH,Peripherin,14,34.5,53.65
P41221,P41221,WNT5A,Protein Wnt-5a,4,10.8,42.339
P41222,P41222,PTGDS,Prostaglandin-H2 D-isomerase,1,8.9,21.029
P41223,P41223,BUD31,Protein BUD31 homolog,7,50.0,17.0
P41225;O95416;O00570,P41225;O95416;O00570,SOX3;SOX14;SOX1,Transcription factor SOX-3;Transcription factor SOX-14;Transcription factor SOX-1,2,7.6,45.21
P41227;Q9BSU3,P41227,NAA10,N-alpha-acetyltransferase 10,7,44.7,26.458
P41229,P41229,KDM5C,Lysine-specific demethylase 5C,4,2.7,175.72
P41236;Q6NXS1,P41236;Q6NXS1,PPP1R2;PPP1R2P3,Protein phosphatase inhibitor 2;Protein phosphatase inhibitor 2-like protein 3,6,40.0,23.015
P41240;P42679,P41240,CSK,Tyrosine-protein kinase CSK,13,35.1,50.704
P41247,P41247,PNPLA4,Patatin-like phospholipase domain-containing protein 4,2,8.7,27.98
P41250,P41250,GARS,Glycine--tRNA ligase,27,41.9,83.165
P41252,P41252,IARS,"Isoleucine--tRNA ligase, cytoplasmic",47,47.4,144.5
P41567,P41567,EIF1,Eukaryotic translation initiation factor 1,6,76.1,12.732
P41743,P41743,PRKCI,Protein kinase C iota type,5,10.2,68.262
P42025,P42025,ACTR1B,Beta-centractin,9,29.8,42.293
P42126,P42126,ECI1,"Enoyl-CoA delta isomerase 1, mitochondrial",9,25.2,32.816
P42166,P42166,TMPO,"Lamina-associated polypeptide 2, isoform alpha;Thymopoietin;Thymopentin",20,43.9,75.491
P42285,P42285,SKIV2L2,Superkiller viralicidic activity 2-like 2,22,24.8,117.8
P42336,P42336,PIK3CA,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",4,5.0,124.28
P42345,P42345,MTOR,Serine/threonine-protein kinase mTOR,15,8.7,288.89
P42356;A4QPH2;Q8N8J0,P42356,PI4KA,Phosphatidylinositol 4-kinase alpha,8,5.1,236.83
P42566,P42566,EPS15,Epidermal growth factor receptor substrate 15,21,32.3,98.655
P42574,P42574,CASP3,Caspase-3;Caspase-3 subunit p17;Caspase-3 subunit p12,6,34.7,31.608
P42658,P42658,DPP6,Dipeptidyl aminopeptidase-like protein 6,7,13.1,97.587
P42677,P42677,RPS27,40S ribosomal protein S27,5,41.7,9.461
P42684,P42684,ABL2,Abelson tyrosine-protein kinase 2,5,6.0,128.34
P42694,P42694,HELZ,Probable helicase with zinc finger domain,9,6.3,218.97
P42696,P42696,RBM34,RNA-binding protein 34,8,21.9,48.564
P42704,P42704,LRPPRC,"Leucine-rich PPR motif-containing protein, mitochondrial",72,57.8,157.9
P42765,P42765,ACAA2,"3-ketoacyl-CoA thiolase, mitochondrial",18,70.5,41.924
P42766,P42766,RPL35,60S ribosomal protein L35,4,27.6,14.551
P42785,P42785,PRCP,Lysosomal Pro-X carboxypeptidase,10,21.6,55.799
P42858,P42858,HTT,Huntingtin,13,5.3,347.6
P42892,P42892,ECE1,Endothelin-converting enzyme 1,9,15.1,87.163
P42898,P42898,MTHFR,Methylenetetrahydrofolate reductase,4,7.3,74.596
P43003;P48664,P43003,SLC1A3,Excitatory amino acid transporter 1,5,11.6,59.572
P43007,P43007,SLC1A4,Neutral amino acid transporter A,4,10.5,55.722
P43034,P43034,PAFAH1B1,Platelet-activating factor acetylhydrolase IB subunit alpha,21,55.6,46.637
P43121,P43121,MCAM,Cell surface glycoprotein MUC18,17,28.9,71.607
P43146,P43146,DCC,Netrin receptor DCC,7,7.0,158.45
P43155,P43155,CRAT,Carnitine O-acetyltransferase,20,37.5,70.857
P43234,P43234,CTSO,Cathepsin O,2,8.1,35.957
P43243,P43243,MATR3,Matrin-3,34,44.6,94.622
P43246,P43246,MSH2,DNA mismatch repair protein Msh2,29,32.4,104.74
P43304,P43304,GPD2,"Glycerol-3-phosphate dehydrogenase, mitochondrial",17,27.8,80.852
P43307,P43307,SSR1,Translocon-associated protein subunit alpha,3,14.7,32.235
P43308,P43308,SSR2,Translocon-associated protein subunit beta,1,6.0,20.135
P43378,P43378,PTPN9,Tyrosine-protein phosphatase non-receptor type 9,5,9.4,68.019
P43487,P43487,RANBP1,Ran-specific GTPase-activating protein,6,42.8,23.31
P43490,P43490,NAMPT,Nicotinamide phosphoribosyltransferase,25,56.2,55.52
P43686,P43686,PSMC4,26S protease regulatory subunit 6B,22,59.1,47.366
P43897,P43897,TSFM,"Elongation factor Ts, mitochondrial",10,45.5,35.39
P45877,P45877,PPIC,Peptidyl-prolyl cis-trans isomerase C,2,9.9,22.763
P45880,P45880,VDAC2,Voltage-dependent anion-selective channel protein 2,16,68.7,31.566
P45954,P45954,ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",12,36.6,47.485
P45973,P45973,CBX5,Chromobox protein homolog 5,11,61.3,22.225
P45974,P45974,USP5,Ubiquitin carboxyl-terminal hydrolase 5,26,32.8,95.785
P45983,P45983,MAPK8,Mitogen-activated protein kinase 8,7,20.6,48.295
P45984,P45984,MAPK9,Mitogen-activated protein kinase 9,3,8.5,48.139
P45985,P45985,MAP2K4,Dual specificity mitogen-activated protein kinase kinase 4,8,31.8,44.287
P46013,P46013,MKI67,Antigen KI-67,24,12.8,358.69
P46019,P46019,PHKA2,"Phosphorylase b kinase regulatory subunit alpha, liver isoform",4,4.1,138.41
P46020,P46020,PHKA1,"Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform",3,2.9,137.31
P46060,P46060,RANGAP1,Ran GTPase-activating protein 1,21,43.6,63.541
P46063,P46063,RECQL,ATP-dependent DNA helicase Q1,14,28.0,73.457
P46087,P46087,NOP2,Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase,19,29.2,89.301
P46100,P46100,ATRX,Transcriptional regulator ATRX,18,10.0,282.58
P46108,P46108,CRK,Adapter molecule crk,11,47.7,33.83
P46109,P46109,CRKL,Crk-like protein,14,59.4,33.777
P46199,P46199,MTIF2,"Translation initiation factor IF-2, mitochondrial",6,12.1,81.316
P46379,P46379,BAG6,Large proline-rich protein BAG6,8,10.2,119.41
P46459,P46459,NSF,Vesicle-fusing ATPase,34,50.1,82.593
P46527,P46527,CDKN1B,Cyclin-dependent kinase inhibitor 1B,1,9.6,22.073
P46531,P46531,NOTCH1,Neurogenic locus notch homolog protein 1;Notch 1 extracellular truncation;Notch 1 intracellular domain,7,3.8,272.5
P46736,P46736,BRCC3,Lys-63-specific deubiquitinase BRCC36,7,29.7,36.072
P46776,P46776,RPL27A,60S ribosomal protein L27a,7,38.5,16.561
P46777,P46777,RPL5,60S ribosomal protein L5,17,50.5,34.362
P46778,P46778,RPL21,60S ribosomal protein L21,8,38.8,18.565
P46779,P46779,RPL28,60S ribosomal protein L28,7,39.4,15.747
P46781,P46781,RPS9,40S ribosomal protein S9,19,49.5,22.591
P46782,P46782,RPS5,"40S ribosomal protein S5;40S ribosomal protein S5, N-terminally processed",11,44.1,22.876
P46783,P46783,RPS10,40S ribosomal protein S10,6,30.3,18.898
P46821,P46821,MAP1B,Microtubule-associated protein 1B;MAP1B heavy chain;MAP1 light chain LC1,115,57.3,270.63
P46926,P46926,GNPDA1,Glucosamine-6-phosphate isomerase 1,12,56.7,32.668
P46937,P46937,YAP1,Transcriptional coactivator YAP1,6,18.1,54.461
P46939,P46939,UTRN,Utrophin,9,3.5,394.46
P46940,P46940,IQGAP1,Ras GTPase-activating-like protein IQGAP1,66,47.1,189.25
P46976,P46976,GYG1,Glycogenin-1,7,23.1,39.383
P46977,P46977,STT3A,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A,4,4.8,80.529
P47224,P47224,RABIF,Guanine nucleotide exchange factor MSS4,2,20.3,13.839
P47712,P47712,PLA2G4A,Cytosolic phospholipase A2;Phospholipase A2;Lysophospholipase,4,6.7,85.238
P47736,P47736,RAP1GAP,Rap1 GTPase-activating protein 1,5,6.9,73.361
P47755,P47755,CAPZA2,F-actin-capping protein subunit alpha-2,16,74.1,32.949
P47756,P47756,CAPZB,F-actin-capping protein subunit beta,14,53.8,31.35
P47813;O14602,P47813;O14602,EIF1AX;EIF1AY,"Eukaryotic translation initiation factor 1A, X-chromosomal;Eukaryotic translation initiation factor 1A, Y-chromosomal",5,39.6,16.46
P47895,P47895,ALDH1A3,Aldehyde dehydrogenase family 1 member A3,4,7.8,56.108
P47897,P47897,QARS,Glutamine--tRNA ligase,25,43.0,87.798
P47902,P47902,CDX1,Homeobox protein CDX-1,1,3.4,28.138
P47914,P47914,RPL29,60S ribosomal protein L29,3,16.4,17.752
P47974,P47974,ZFP36L2,"Zinc finger protein 36, C3H1 type-like 2",2,5.5,51.062
P47985;P0C7P4,P47985;P0C7P4,UQCRFS1;UQCRFS1P1,"Cytochrome b-c1 complex subunit Rieske, mitochondrial;Cytochrome b-c1 complex subunit 11;Putative cytochrome b-c1 complex subunit Rieske-like protein 1",8,37.2,29.668
P48029,P48029,SLC6A8,Sodium- and chloride-dependent creatine transporter 1,2,3.6,70.522
P48047,P48047,ATP5O,"ATP synthase subunit O, mitochondrial",9,54.5,23.277
P48059;Q7Z4I7,P48059;Q7Z4I7,LIMS1;LIMS2,LIM and senescent cell antigen-like-containing domain protein 1;LIM and senescent cell antigen-like-containing domain protein 2,8,30.5,37.251
P48061,P48061,CXCL12,Stromal cell-derived factor 1;SDF-1-beta(3-72);SDF-1-alpha(3-67),1,15.1,10.666
P48147,P48147,PREP,Prolyl endopeptidase,26,44.9,80.699
P48163,P48163,ME1,NADP-dependent malic enzyme,15,33.6,64.149
P48307,P48307,TFPI2,Tissue factor pathway inhibitor 2,15,51.9,26.934
P48380;P48378,P48380;P48378,RFX3;RFX2,Transcription factor RFX3;DNA-binding protein RFX2,2,4.5,83.529
P48426,P48426,PIP4K2A,Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha,7,20.9,46.224
P48431,P48431,SOX2,Transcription factor SOX-2,2,14.5,34.31
P48444,P48444,ARCN1,Coatomer subunit delta,23,47.6,57.21
P48449,P48449,LSS,Lanosterol synthase,10,15.2,83.308
P48506,P48506,GCLC,Glutamate--cysteine ligase catalytic subunit,14,29.8,72.765
P48507,P48507,GCLM,Glutamate--cysteine ligase regulatory subunit,8,38.7,30.727
P48509,P48509,CD151,CD151 antigen,2,12.6,28.295
P48539,P48539,PCP4,Purkinje cell protein 4,1,25.8,6.7913
P48553;A0A096LPH7,P48553,TRAPPC10,Trafficking protein particle complex subunit 10,6,5.0,142.19
P48556,P48556,PSMD8,26S proteasome non-ATPase regulatory subunit 8,14,43.7,39.611
P48634,P48634,PRRC2A,Protein PRRC2A,9,6.7,228.86
P48637,P48637,GSS,Glutathione synthetase,14,34.8,52.384
P48643,P48643,CCT5,T-complex protein 1 subunit epsilon,42,73.6,59.67
P48681,P48681,NES,Nestin,89,56.6,177.44
P48723,P48723,HSPA13,Heat shock 70 kDa protein 13,11,29.3,51.927
P48728,P48728,AMT,"Aminomethyltransferase, mitochondrial",4,11.4,43.946
P48729;Q8N752,P48729;Q8N752,CSNK1A1;CSNK1A1L,Casein kinase I isoform alpha;Casein kinase I isoform alpha-like,6,18.1,38.914
P48730,P48730,CSNK1D,Casein kinase I isoform delta,7,22.4,47.33
P48735,P48735,IDH2,"Isocitrate dehydrogenase [NADP], mitochondrial",26,53.5,50.909
P48739,P48739,PITPNB,Phosphatidylinositol transfer protein beta isoform,13,52.4,31.54
P49005,P49005,POLD2,DNA polymerase delta subunit 2,2,5.1,51.289
P49006,P49006,MARCKSL1,MARCKS-related protein,7,73.8,19.529
P49023,P49023,PXN,Paxillin,11,19.6,64.505
P49069,P49069,CAMLG,Calcium signal-modulating cyclophilin ligand,3,23.3,32.952
P49137;Q96PN8;O43930;P51817,P49137,MAPKAPK2,MAP kinase-activated protein kinase 2,8,28.0,45.567
P49189,P49189,ALDH9A1,4-trimethylaminobutyraldehyde dehydrogenase,23,49.2,53.801
P49207,P49207,RPL34,60S ribosomal protein L34,5,27.4,13.293
P49247,P49247,RPIA,Ribose-5-phosphate isomerase,4,18.3,33.269
P49257,P49257,LMAN1,Protein ERGIC-53,9,28.0,57.548
P49321,P49321,NASP,Nuclear autoantigenic sperm protein,35,62.1,85.237
P49327,P49327,FASN,Fatty acid synthase;[Acyl-carrier-protein] S-acetyltransferase;[Acyl-carrier-protein] S-malonyltransferase;3-oxoacyl-[acyl-carrier-protein] synthase;3-oxoacyl-[acyl-carrier-protein] reductase;3-hydroxyacyl-[acyl-carrier-protein] dehydratase;Enoyl-[acyl-carrier-protein] reductase;Oleoyl-[acyl-carrier-protein] hydrolase,73,37.2,273.42
P49336,P49336,CDK8,Cyclin-dependent kinase 8,1,1.7,53.283
P49354,P49354,FNTA,Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha,6,16.6,44.408
P49356,P49356,FNTB,Protein farnesyltransferase subunit beta,6,10.8,48.773
P49366,P49366,DHPS,Deoxyhypusine synthase,6,19.8,40.97
P49368,P49368,CCT3,T-complex protein 1 subunit gamma,40,70.1,60.533
P49406,P49406,MRPL19,"39S ribosomal protein L19, mitochondrial",5,17.5,33.535
P49407;P10523,P49407,ARRB1,Beta-arrestin-1,9,28.7,47.065
P49411,P49411,TUFM,"Elongation factor Tu, mitochondrial",32,70.1,49.541
P49418,P49418,AMPH,Amphiphysin,11,21.6,76.256
P49419,P49419,ALDH7A1,Alpha-aminoadipic semialdehyde dehydrogenase,24,53.6,58.486
P49427,P49427,CDC34,Ubiquitin-conjugating enzyme E2 R1,4,17.4,26.736
P49441,P49441,INPP1,Inositol polyphosphate 1-phosphatase,3,10.8,43.998
P49448,P49448,GLUD2,"Glutamate dehydrogenase 2, mitochondrial",18,36.2,61.433
P49454,P49454,CENPF,Centromere protein F,14,5.9,357.52
P49458,P49458,SRP9,Signal recognition particle 9 kDa protein,5,47.7,10.112
P49585;Q9Y5K3,P49585,PCYT1A,Choline-phosphate cytidylyltransferase A,5,21.3,41.731
P49588,P49588,AARS,"Alanine--tRNA ligase, cytoplasmic",46,56.7,106.81
P49589,P49589,CARS,"Cysteine--tRNA ligase, cytoplasmic",29,44.4,85.472
P49590,P49590,HARS2,"Probable histidine--tRNA ligase, mitochondrial",13,27.9,56.888
P49591,P49591,SARS,"Serine--tRNA ligase, cytoplasmic",27,59.9,58.777
P49593,P49593,PPM1F,Protein phosphatase 1F,5,15.9,49.83
P49642,P49642,PRIM1,DNA primase small subunit,6,15.7,49.901
P49643,P49643,PRIM2,DNA primase large subunit,5,11.4,58.805
P49674,P49674,CSNK1E,Casein kinase I isoform epsilon,6,17.8,47.315
P49711;Q8NI51,P49711,CTCF,Transcriptional repressor CTCF,7,12.7,82.785
P49720,P49720,PSMB3,Proteasome subunit beta type-3,8,47.3,22.949
P49721,P49721,PSMB2,Proteasome subunit beta type-2,9,37.3,22.836
P49736,P49736,MCM2,DNA replication licensing factor MCM2,20,28.3,101.89
P49748,P49748,ACADVL,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",37,65.5,70.389
P49750,P49750,YLPM1,YLP motif-containing protein 1,16,11.2,241.64
P49754,P49754,VPS41,Vacuolar protein sorting-associated protein 41 homolog,6,9.0,98.565
P49755,P49755,TMED10,Transmembrane emp24 domain-containing protein 10,9,35.6,24.976
P49756,P49756,RBM25,RNA-binding protein 25,21,26.9,100.18
P49757,P49757,NUMB,Protein numb homolog,6,14.0,70.803
P49758;P49802,P49758;P49802,RGS6;RGS7,Regulator of G-protein signaling 6;Regulator of G-protein signaling 7,1,2.5,54.422
P49759,P49759,CLK1,Dual specificity protein kinase CLK1,2,3.3,57.29
P49768,P49768,PSEN1,Presenilin-1;Presenilin-1 NTF subunit;Presenilin-1 CTF subunit;Presenilin-1 CTF12,3,8.1,52.667
P49770,P49770,EIF2B2,Translation initiation factor eIF-2B subunit beta,4,17.4,38.989
P49773,P49773,HINT1,Histidine triad nucleotide-binding protein 1,10,84.9,13.802
P49790,P49790,NUP153,Nuclear pore complex protein Nup153,20,19.6,153.94
P49792;P0DJD0;P0DJD1,P49792,RANBP2,E3 SUMO-protein ligase RanBP2,81,34.3,358.2
P49815,P49815,TSC2,Tuberin,8,5.2,200.61
P49821,P49821,NDUFV1,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",11,37.7,50.817
P49840,P49840,GSK3A,Glycogen synthase kinase-3 alpha,8,18.6,50.98
P49841,P49841,GSK3B,Glycogen synthase kinase-3 beta,12,33.3,46.744
P49848,P49848,TAF6,Transcription initiation factor TFIID subunit 6,3,6.1,72.668
P49902,P49902,NT5C2,Cytosolic purine 5-nucleotidase,7,17.6,64.969
P49903,P49903,SEPHS1,"Selenide, water dikinase 1",7,22.4,42.91
P49914,P49914,MTHFS,5-formyltetrahydrofolate cyclo-ligase,3,17.7,23.255
P49915,P49915,GMPS,GMP synthase [glutamine-hydrolyzing],20,35.5,76.715
P49916,P49916,LIG3,DNA ligase 3,26,29.6,112.91
P49917,P49917,LIG4,DNA ligase 4,3,3.7,103.97
P49918,P49918,CDKN1C,Cyclin-dependent kinase inhibitor 1C,2,12.3,32.177
P49959,P49959,MRE11A,Double-strand break repair protein MRE11A,14,26.3,80.592
P50135,P50135,HNMT,Histamine N-methyltransferase,1,8.2,33.295
P50148,P50148,GNAQ,Guanine nucleotide-binding protein G(q) subunit alpha,10,34.3,42.142
P50151,P50151,GNG10,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10,1,26.5,7.2053
P50213,P50213,IDH3A,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial",13,37.2,39.591
P50225;P0DMN0;P0DMM9,P50225;P0DMN0;P0DMM9,SULT1A1;SULT1A4;SULT1A3,Sulfotransferase 1A1;Sulfotransferase 1A4;Sulfotransferase 1A3,2,9.5,34.165
P50238,P50238,CRIP1,Cysteine-rich protein 1,3,36.4,8.5328
P50281,P50281,MMP14,Matrix metalloproteinase-14,3,6.7,65.893
P50336,P50336,PPOX,Protoporphyrinogen oxidase,3,8.2,50.765
P50395,P50395,GDI2,Rab GDP dissociation inhibitor beta,34,78.2,50.663
P50402,P50402,EMD,Emerin,13,42.9,28.994
P50416;Q92523,P50416,CPT1A,"Carnitine O-palmitoyltransferase 1, liver isoform",11,15.4,88.367
P50440,P50440,GATM,"Glycine amidinotransferase, mitochondrial",10,31.9,48.455
P50452;O75830,P50452,SERPINB8,Serpin B8,9,27.0,42.766
P50453,P50453,SERPINB9,Serpin B9,20,60.4,42.403
P50454,P50454,SERPINH1,Serpin H1,24,60.8,46.44
P50479,P50479,PDLIM4,PDZ and LIM domain protein 4,6,23.3,35.398
P50502;Q8IZP2;Q8NFI4,P50502;Q8IZP2;Q8NFI4,ST13;ST13P4;ST13P5,Hsc70-interacting protein;Putative protein FAM10A4;Putative protein FAM10A5,14,43.9,41.331
P50542,P50542,PEX5,Peroxisomal targeting signal 1 receptor,10,23.0,70.864
P50552,P50552,VASP,Vasodilator-stimulated phosphoprotein,7,21.1,39.829
P50570,P50570,DNM2,Dynamin-2,34,44.5,98.063
P50579,P50579,METAP2,Methionine aminopeptidase 2,9,29.1,52.891
P50583,P50583,NUDT2,Bis(5-nucleosyl)-tetraphosphatase [asymmetrical],4,31.3,16.829
P50607,P50607,TUB,Tubby protein homolog,2,5.3,55.65
P50613,P50613,CDK7,Cyclin-dependent kinase 7,2,7.5,39.038
P50747,P50747,HLCS,Biotin--protein ligase;Biotin--[methylmalonyl-CoA-carboxytransferase] ligase;Biotin--[propionyl-CoA-carboxylase [ATP-hydrolyzing]] ligase;Biotin--[methylcrotonoyl-CoA-carboxylase] ligase;Biotin--[acetyl-CoA-carboxylase] ligase,2,3.0,80.759
P50748,P50748,KNTC1,Kinetochore-associated protein 1,7,3.6,250.75
P50749;Q9H2L5,P50749,RASSF2,Ras association domain-containing protein 2,9,34.4,37.79
P50750,P50750,CDK9,Cyclin-dependent kinase 9,5,19.6,42.777
P50851,P50851,LRBA,Lipopolysaccharide-responsive and beige-like anchor protein,9,5.1,319.1
P50895,P50895,BCAM,Basal cell adhesion molecule,2,5.1,67.404
P50897,P50897,PPT1,Palmitoyl-protein thioesterase 1,10,37.6,34.193
P50914,P50914,RPL14,60S ribosomal protein L14,9,27.9,23.432
P50990,P50990,CCT8,T-complex protein 1 subunit theta,39,72.6,59.62
P50991,P50991,CCT4,T-complex protein 1 subunit delta,31,62.0,57.924
