Protein_IDs,Gene_names,Protein_names
P47755,CAPZA2,F-actin-capping protein subunit alpha-2
P47756,CAPZB,F-actin-capping protein subunit beta
P47813;O14602,EIF1AX;EIF1AY,"Eukaryotic translation initiation factor 1A, X-chromosomal;Eukaryotic translation initiation factor 1A, Y-chromosomal"
P47897,QARS,Glutamine--tRNA ligase
P47914,RPL29,60S ribosomal protein L29
P47974,ZFP36L2,"Zinc finger protein 36, C3H1 type-like 2"
P47985;P0C7P4,UQCRFS1;UQCRFS1P1,"Cytochrome b-c1 complex subunit Rieske, mitochondrial;Cytochrome b-c1 complex subunit 11;Putative cytochrome b-c1 complex subunit Rieske-like protein 1"
P48047,ATP5O,"ATP synthase subunit O, mitochondrial"
P48059;Q7Z4I7,LIMS1;LIMS2,LIM and senescent cell antigen-like-containing domain protein 1;LIM and senescent cell antigen-like-containing domain protein 2
P48147,PREP,Prolyl endopeptidase
P48163,ME1,NADP-dependent malic enzyme
P48307,TFPI2,Tissue factor pathway inhibitor 2
P48380;P48378,RFX3;RFX2,Transcription factor RFX3;DNA-binding protein RFX2
P48426,PIP4K2A,Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha
P48444,ARCN1,Coatomer subunit delta
P48449,LSS,Lanosterol synthase
P48506,GCLC,Glutamate--cysteine ligase catalytic subunit
P48507,GCLM,Glutamate--cysteine ligase regulatory subunit
P48509,CD151,CD151 antigen
P48553;A0A096LPH7,TRAPPC10,Trafficking protein particle complex subunit 10
P48556,PSMD8,26S proteasome non-ATPase regulatory subunit 8
P48634,PRRC2A,Protein PRRC2A
P48637,GSS,Glutathione synthetase
P48643,CCT5,T-complex protein 1 subunit epsilon
P48681,NES,Nestin
P48723,HSPA13,Heat shock 70 kDa protein 13
P48728,AMT,"Aminomethyltransferase, mitochondrial"
P48729;Q8N752,CSNK1A1;CSNK1A1L,Casein kinase I isoform alpha;Casein kinase I isoform alpha-like
P48730,CSNK1D,Casein kinase I isoform delta
P48735,IDH2,"Isocitrate dehydrogenase [NADP], mitochondrial"
P48739,PITPNB,Phosphatidylinositol transfer protein beta isoform
P49006,MARCKSL1,MARCKS-related protein
P49023,PXN,Paxillin
P49069,CAMLG,Calcium signal-modulating cyclophilin ligand
P49137;Q96PN8;O43930;P51817,MAPKAPK2,MAP kinase-activated protein kinase 2
P49189,ALDH9A1,4-trimethylaminobutyraldehyde dehydrogenase
P49207,RPL34,60S ribosomal protein L34
P49247,RPIA,Ribose-5-phosphate isomerase
P49257,LMAN1,Protein ERGIC-53
P49321,NASP,Nuclear autoantigenic sperm protein
P49327,FASN,Fatty acid synthase;[Acyl-carrier-protein] S-acetyltransferase;[Acyl-carrier-protein] S-malonyltransferase;3-oxoacyl-[acyl-carrier-protein] synthase;3-oxoacyl-[acyl-carrier-protein] reductase;3-hydroxyacyl-[acyl-carrier-protein] dehydratase;Enoyl-[acyl-carrier-protein] reductase;Oleoyl-[acyl-carrier-protein] hydrolase
P49354,FNTA,Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha
P49356,FNTB,Protein farnesyltransferase subunit beta
P49366,DHPS,Deoxyhypusine synthase
P49368,CCT3,T-complex protein 1 subunit gamma
P49406,MRPL19,"39S ribosomal protein L19, mitochondrial"
P49407;P10523,ARRB1,Beta-arrestin-1
P49411,TUFM,"Elongation factor Tu, mitochondrial"
P49418,AMPH,Amphiphysin
P49419,ALDH7A1,Alpha-aminoadipic semialdehyde dehydrogenase
P49427,CDC34,Ubiquitin-conjugating enzyme E2 R1
P49454,CENPF,Centromere protein F
P49458,SRP9,Signal recognition particle 9 kDa protein
P49585;Q9Y5K3,PCYT1A,Choline-phosphate cytidylyltransferase A
P49588,AARS,"Alanine--tRNA ligase, cytoplasmic"
P49589,CARS,"Cysteine--tRNA ligase, cytoplasmic"
P49590,HARS2,"Probable histidine--tRNA ligase, mitochondrial"
P49591,SARS,"Serine--tRNA ligase, cytoplasmic"
P49593,PPM1F,Protein phosphatase 1F
P49642,PRIM1,DNA primase small subunit
P49643,PRIM2,DNA primase large subunit
P49674,CSNK1E,Casein kinase I isoform epsilon
P49711;Q8NI51,CTCF,Transcriptional repressor CTCF
P49720,PSMB3,Proteasome subunit beta type-3
P49721,PSMB2,Proteasome subunit beta type-2
P49736,MCM2,DNA replication licensing factor MCM2
P49748,ACADVL,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial"
P49750,YLPM1,YLP motif-containing protein 1
P49754,VPS41,Vacuolar protein sorting-associated protein 41 homolog
P49755,TMED10,Transmembrane emp24 domain-containing protein 10
P49756,RBM25,RNA-binding protein 25
P49757,NUMB,Protein numb homolog
P49768,PSEN1,Presenilin-1;Presenilin-1 NTF subunit;Presenilin-1 CTF subunit;Presenilin-1 CTF12
P49770,EIF2B2,Translation initiation factor eIF-2B subunit beta
P49773,HINT1,Histidine triad nucleotide-binding protein 1
P49790,NUP153,Nuclear pore complex protein Nup153
P49792;P0DJD0;P0DJD1,RANBP2,E3 SUMO-protein ligase RanBP2
P49815,TSC2,Tuberin
P49821,NDUFV1,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial"
P49840,GSK3A,Glycogen synthase kinase-3 alpha
P49841,GSK3B,Glycogen synthase kinase-3 beta
P49848,TAF6,Transcription initiation factor TFIID subunit 6
P49902,NT5C2,Cytosolic purine 5-nucleotidase
P49903,SEPHS1,"Selenide, water dikinase 1"
P49914,MTHFS,5-formyltetrahydrofolate cyclo-ligase
P49915,GMPS,GMP synthase [glutamine-hydrolyzing]
P49916,LIG3,DNA ligase 3
P49918,CDKN1C,Cyclin-dependent kinase inhibitor 1C
P49959,MRE11A,Double-strand break repair protein MRE11A
P50148,GNAQ,Guanine nucleotide-binding protein G(q) subunit alpha
P50213,IDH3A,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial"
P50225;P0DMN0;P0DMM9,SULT1A1;SULT1A4;SULT1A3,Sulfotransferase 1A1;Sulfotransferase 1A4;Sulfotransferase 1A3
P50238,CRIP1,Cysteine-rich protein 1
P50281,MMP14,Matrix metalloproteinase-14
P50395,GDI2,Rab GDP dissociation inhibitor beta
P50402,EMD,Emerin
P50416;Q92523,CPT1A,"Carnitine O-palmitoyltransferase 1, liver isoform"
P50440,GATM,"Glycine amidinotransferase, mitochondrial"
P50452;O75830,SERPINB8,Serpin B8
P50453,SERPINB9,Serpin B9
P50454,SERPINH1,Serpin H1
P50479,PDLIM4,PDZ and LIM domain protein 4
P50502;Q8IZP2;Q8NFI4,ST13;ST13P4;ST13P5,Hsc70-interacting protein;Putative protein FAM10A4;Putative protein FAM10A5
P50542,PEX5,Peroxisomal targeting signal 1 receptor
P50552,VASP,Vasodilator-stimulated phosphoprotein
P50570,DNM2,Dynamin-2
P50579,METAP2,Methionine aminopeptidase 2
P50583,NUDT2,Bis(5-nucleosyl)-tetraphosphatase [asymmetrical]
P50747,HLCS,Biotin--protein ligase;Biotin--[methylmalonyl-CoA-carboxytransferase] ligase;Biotin--[propionyl-CoA-carboxylase [ATP-hydrolyzing]] ligase;Biotin--[methylcrotonoyl-CoA-carboxylase] ligase;Biotin--[acetyl-CoA-carboxylase] ligase
P50748,KNTC1,Kinetochore-associated protein 1
P50749;Q9H2L5,RASSF2,Ras association domain-containing protein 2
P50750,CDK9,Cyclin-dependent kinase 9
P50851,LRBA,Lipopolysaccharide-responsive and beige-like anchor protein
P50897,PPT1,Palmitoyl-protein thioesterase 1
P50914,RPL14,60S ribosomal protein L14
P50990,CCT8,T-complex protein 1 subunit theta
P50991,CCT4,T-complex protein 1 subunit delta
P50995;P27216,ANXA11,Annexin A11
P51003;Q9NRJ5;Q9BWT3,PAPOLA,Poly(A) polymerase alpha
P51114,FXR1,Fragile X mental retardation syndrome-related protein 1
P51116,FXR2,Fragile X mental retardation syndrome-related protein 2
P51148,RAB5C,Ras-related protein Rab-5C
P51149,RAB7A,Ras-related protein Rab-7a
P51151,RAB9A,Ras-related protein Rab-9A
P51153,RAB13,Ras-related protein Rab-13
P51157,RAB28,Ras-related protein Rab-28
P51178,PLCD1,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1"
P51398,DAP3,"28S ribosomal protein S29, mitochondrial"
P51452,DUSP3,Dual specificity protein phosphatase 3
P51513,NOVA1,RNA-binding protein Nova-1
P51532,SMARCA4,Transcription activator BRG1
P51553,IDH3G,"Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"
P51570,GALK1,Galactokinase
P51571,SSR4,Translocon-associated protein subunit delta
P51572,BCAP31,B-cell receptor-associated protein 31
P51580,TPMT,Thiopurine S-methyltransferase
P51608,MECP2,Methyl-CpG-binding protein 2
P51610,HCFC1,Host cell factor 1;HCF N-terminal chain 1;HCF N-terminal chain 2;HCF N-terminal chain 3;HCF N-terminal chain 4;HCF N-terminal chain 5;HCF N-terminal chain 6;HCF C-terminal chain 1;HCF C-terminal chain 2;HCF C-terminal chain 3;HCF C-terminal chain 4;HCF C-terminal chain 5;HCF C-terminal chain 6
P51648;P48448;P30838;P43353,ALDH3A2,Fatty aldehyde dehydrogenase
P51649,ALDH5A1,"Succinate-semialdehyde dehydrogenase, mitochondrial"
P51659,HSD17B4,Peroxisomal multifunctional enzyme type 2;(3R)-hydroxyacyl-CoA dehydrogenase;Enoyl-CoA hydratase 2
P51665,PSMD7,26S proteasome non-ATPase regulatory subunit 7
Q9Y2X8;P51668,UBE2D4;UBE2D1,Ubiquitin-conjugating enzyme E2 D4;Ubiquitin-conjugating enzyme E2 D1
P51687,SUOX,"Sulfite oxidase, mitochondrial"
P51688,SGSH,N-sulphoglucosamine sulphohydrolase
P51692;P42229,STAT5B;STAT5A,Signal transducer and activator of transcription 5B;Signal transducer and activator of transcription 5A
P51784,USP11,Ubiquitin carboxyl-terminal hydrolase 11
P51790;P51795,CLCN3,H(+)/Cl(-) exchange transporter 3
P51805,PLXNA3,Plexin-A3
P51809,VAMP7,Vesicle-associated membrane protein 7
P51812;Q15349;Q9UK32;Q96GX5;O60307;Q6P0Q8,RPS6KA3,Ribosomal protein S6 kinase alpha-3
P51858,HDGF,Hepatoma-derived growth factor
P51957,NEK4,Serine/threonine-protein kinase Nek4
P51970,NDUFA8,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8
P51991,HNRNPA3,Heterogeneous nuclear ribonucleoprotein A3
P52209,PGD,"6-phosphogluconate dehydrogenase, decarboxylating"
P52272,HNRNPM,Heterogeneous nuclear ribonucleoprotein M
P52292,KPNA2,Importin subunit alpha-1
P52294,KPNA1,"Importin subunit alpha-5;Importin subunit alpha-5, N-terminally processed"
P52306,RAP1GDS1,Rap1 GTPase-GDP dissociation stimulator 1
P52435;Q9H1A7;Q9GZM3,POLR2J;POLR2J3;POLR2J2,DNA-directed RNA polymerase II subunit RPB11-a;DNA-directed RNA polymerase II subunit RPB11-b2;DNA-directed RNA polymerase II subunit RPB11-b1
P52564;P46734,MAP2K6,Dual specificity mitogen-activated protein kinase kinase 6
P52565,ARHGDIA,Rho GDP-dissociation inhibitor 1
P52594,AGFG1,Arf-GAP domain and FG repeat-containing protein 1
P52597,HNRNPF,"Heterogeneous nuclear ribonucleoprotein F;Heterogeneous nuclear ribonucleoprotein F, N-terminally processed"
P52630,STAT2,Signal transducer and activator of transcription 2
P52701,MSH6,DNA mismatch repair protein Msh6
P52732,KIF11,Kinesin-like protein KIF11
P52735,VAV2,Guanine nucleotide exchange factor VAV2
P52756,RBM5,RNA-binding protein 5
P52758,HRSP12,Ribonuclease UK114
P52788,SMS,Spermine synthase
P52789;P52790,HK2,Hexokinase-2
P52799,EFNB2,Ephrin-B2
P52815,MRPL12,"39S ribosomal protein L12, mitochondrial"
P52888,THOP1,Thimet oligopeptidase
P52895,AKR1C2,Aldo-keto reductase family 1 member C2
P52907,CAPZA1,F-actin-capping protein subunit alpha-1
P52926,HMGA2,High mobility group protein HMGI-C
P52943,CRIP2,Cysteine-rich protein 2
P52948,NUP98,Nuclear pore complex protein Nup98-Nup96;Nuclear pore complex protein Nup98;Nuclear pore complex protein Nup96
P53004,BLVRA,Biliverdin reductase A
P53007,SLC25A1,"Tricarboxylate transport protein, mitochondrial"
P53041,PPP5C,Serine/threonine-protein phosphatase 5
P53350,PLK1,Serine/threonine-protein kinase PLK1
P53365,ARFIP2,Arfaptin-2
P53367,ARFIP1,Arfaptin-1
P53384,NUBP1,Cytosolic Fe-S cluster assembly factor NUBP1
P53396,ACLY,ATP-citrate synthase
P53582,METAP1,Methionine aminopeptidase 1
P53597,SUCLG1,"Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial"
P53602,MVD,Diphosphomevalonate decarboxylase
P53609,PGGT1B,Geranylgeranyl transferase type-1 subunit beta
P53611,RABGGTB,Geranylgeranyl transferase type-2 subunit beta
P53618,COPB1,Coatomer subunit beta
P53621,COPA,Coatomer subunit alpha;Xenin;Proxenin
P53634,CTSC,Dipeptidyl peptidase 1;Dipeptidyl peptidase 1 exclusion domain chain;Dipeptidyl peptidase 1 heavy chain;Dipeptidyl peptidase 1 light chain
P53674,CRYBB1,Beta-crystallin B1
P53677,AP3M2,AP-3 complex subunit mu-2
P53680,AP2S1,AP-2 complex subunit sigma
P53701,HCCS,Cytochrome c-type heme lyase
P53779,MAPK10,Mitogen-activated protein kinase 10
P53801,PTTG1IP,Pituitary tumor-transforming gene 1 protein-interacting protein
P53805;Q9UKA8,RCAN1,Calcipressin-1
P53985,SLC16A1,Monocarboxylate transporter 1
P53990,IST1,IST1 homolog
P53992,SEC24C,Protein transport protein Sec24C
P53999,SUB1,Activated RNA polymerase II transcriptional coactivator p15
P54098,POLG,DNA polymerase subunit gamma-1
P54105,CLNS1A,Methylosome subunit pICln
P54136,RARS,"Arginine--tRNA ligase, cytoplasmic"
P54198,HIRA,Protein HIRA
P54252;Q9H3M9,ATXN3,Ataxin-3
P54253,ATXN1,Ataxin-1
P54277,PMS1,PMS1 protein homolog 1
P54278,PMS2,Mismatch repair endonuclease PMS2
P54289,CACNA2D1,Voltage-dependent calcium channel subunit alpha-2/delta-1;Voltage-dependent calcium channel subunit alpha-2-1;Voltage-dependent calcium channel subunit delta-1
P54577,YARS,"Tyrosine--tRNA ligase, cytoplasmic;Tyrosine--tRNA ligase, cytoplasmic, N-terminally processed"
P54578,USP14,Ubiquitin carboxyl-terminal hydrolase 14
P54619;Q9UGJ0,PRKAG1,5-AMP-activated protein kinase subunit gamma-1
P54652,HSPA2,Heat shock-related 70 kDa protein 2
P54687,BCAT1,"Branched-chain-amino-acid aminotransferase, cytosolic"
P54709,ATP1B3,Sodium/potassium-transporting ATPase subunit beta-3
P54727,RAD23B,UV excision repair protein RAD23 homolog B
P54750,PDE1A,"Calcium/calmodulin-dependent 3,5-cyclic nucleotide phosphodiesterase 1A"
P54753,EPHB3,Ephrin type-B receptor 3
P54764,EPHA4,Ephrin type-A receptor 4
P54802,NAGLU,Alpha-N-acetylglucosaminidase;Alpha-N-acetylglucosaminidase 82 kDa form;Alpha-N-acetylglucosaminidase 77 kDa form
P54803,GALC,Galactocerebrosidase
P54819,AK2,"Adenylate kinase 2, mitochondrial;Adenylate kinase 2, mitochondrial, N-terminally processed"
P54886,ALDH18A1,Delta-1-pyrroline-5-carboxylate synthase;Glutamate 5-kinase;Gamma-glutamyl phosphate reductase
P54920,NAPA,Alpha-soluble NSF attachment protein
P55001,MFAP2,Microfibrillar-associated protein 2
P55010,EIF5,Eukaryotic translation initiation factor 5
P55011,SLC12A2,Solute carrier family 12 member 2
P55036,PSMD4,26S proteasome non-ATPase regulatory subunit 4
P55039,DRG2,Developmentally-regulated GTP-binding protein 2
P55060,CSE1L,Exportin-2
P55072,VCP,Transitional endoplasmic reticulum ATPase
P55075;O60258,FGF8,Fibroblast growth factor 8
P55081,MFAP1,Microfibrillar-associated protein 1
P55084,HADHB,"Trifunctional enzyme subunit beta, mitochondrial;3-ketoacyl-CoA thiolase"
P55145,MANF,Mesencephalic astrocyte-derived neurotrophic factor
P55157,MTTP,Microsomal triglyceride transfer protein large subunit
P55196,MLLT4,Afadin
P55209,NAP1L1,Nucleosome assembly protein 1-like 1
P55212,CASP6,Caspase-6;Caspase-6 subunit p18;Caspase-6 subunit p11
P55263,ADK,Adenosine kinase
P55265,ADAR,Double-stranded RNA-specific adenosine deaminase
P55268,LAMB2,Laminin subunit beta-2
P55285,CDH6,Cadherin-6
P55287,CDH11,Cadherin-11
P55327,TPD52,Tumor protein D52
P55345,PRMT2,Protein arginine N-methyltransferase 2
P55735,SEC13,Protein SEC13 homolog
P55769,NHP2L1,"NHP2-like protein 1;NHP2-like protein 1, N-terminally processed"
P55786;A6NEC2,NPEPPS,Puromycin-sensitive aminopeptidase
P55795,HNRNPH2,Heterogeneous nuclear ribonucleoprotein H2
P55809;Q9BYC2,OXCT1,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial"
P55884,EIF3B,Eukaryotic translation initiation factor 3 subunit B
P56134,ATP5J2,"ATP synthase subunit f, mitochondrial"
P56159,GFRA1,GDNF family receptor alpha-1
P56181,NDUFV3,"NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial"
P56182,RRP1,Ribosomal RNA processing protein 1 homolog A
P56192,MARS,"Methionine--tRNA ligase, cytoplasmic"
P56211,ARPP19,cAMP-regulated phosphoprotein 19
P56270,MAZ,Myc-associated zinc finger protein
P56373,P2RX3,P2X purinoceptor 3
P56377,AP1S2,AP-1 complex subunit sigma-2
P56378,MP68,6.8 kDa mitochondrial proteolipid
P56385,ATP5I,"ATP synthase subunit e, mitochondrial"
P56537,EIF6,Eukaryotic translation initiation factor 6
P56545,CTBP2,C-terminal-binding protein 2
P56556,NDUFA6,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6
P56559,ARL4C,ADP-ribosylation factor-like protein 4C
P56706,WNT7B,Protein Wnt-7b
P56730,PRSS12,Neurotrypsin
P56937,HSD17B7,3-keto-steroid reductase
P56962,STX17,Syntaxin-17
P57076,C21orf59,UPF0769 protein C21orf59
P57087,JAM2,Junctional adhesion molecule B
P57088,TMEM33,Transmembrane protein 33
P57105,SYNJ2BP,Synaptojanin-2-binding protein
P57678,GEMIN4,Gem-associated protein 4
P57682;Q9Y4X4,KLF3;KLF12,Krueppel-like factor 3;Krueppel-like factor 12
P57721,PCBP3,Poly(rC)-binding protein 3
P57723,PCBP4,Poly(rC)-binding protein 4
P57737,CORO7,Coronin-7
P57740,NUP107,Nuclear pore complex protein Nup107
P57772,EEFSEC,Selenocysteine-specific elongation factor
P58107,EPPK1,Epiplakin
P58546,MTPN,Myotrophin
P59768,GNG2,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2
P59780,AP3S2,AP-3 complex subunit sigma-2
P59998,ARPC4,Actin-related protein 2/3 complex subunit 4
P60033,CD81,CD81 antigen
P60059,SEC61G,Protein transport protein Sec61 subunit gamma
P60174,TPI1,Triosephosphate isomerase
P60201,PLP1,Myelin proteolipid protein
P60228,EIF3E,Eukaryotic translation initiation factor 3 subunit E
P60510,PPP4C,Serine/threonine-protein phosphatase 4 catalytic subunit
P60520,GABARAPL2,Gamma-aminobutyric acid receptor-associated protein-like 2
P60602,ROMO1,Reactive oxygen species modulator 1
P60660,MYL6,Myosin light polypeptide 6
P60842,EIF4A1,Eukaryotic initiation factor 4A-I
P60866,RPS20,40S ribosomal protein S20
P60880,SNAP25,Synaptosomal-associated protein 25
P60891,PRPS1,Ribose-phosphate pyrophosphokinase 1
P60900,PSMA6,Proteasome subunit alpha type-6
P60903,S100A10,Protein S100-A10
P60953;P17081,CDC42,Cell division control protein 42 homolog
P60981,DSTN,Destrin
P60983;O60234,GMFB,Glia maturation factor beta
P61006,RAB8A,Ras-related protein Rab-8A
P61009,SPCS3,Signal peptidase complex subunit 3
P61011,SRP54,Signal recognition particle 54 kDa protein
P61018,RAB4B,Ras-related protein Rab-4B
P61019,RAB2A,Ras-related protein Rab-2A
P61020,RAB5B,Ras-related protein Rab-5B
P61026,RAB10,Ras-related protein Rab-10
P61081,UBE2M,NEDD8-conjugating enzyme Ubc12
P61086,UBE2K,Ubiquitin-conjugating enzyme E2 K
P61088;Q5JXB2,UBE2N,Ubiquitin-conjugating enzyme E2 N
P61106,RAB14,Ras-related protein Rab-14
P61158,ACTR3,Actin-related protein 3
P61160,ACTR2,Actin-related protein 2
P61163,ACTR1A,Alpha-centractin
P61201,COPS2,COP9 signalosome complex subunit 2
P84077;P61204,ARF1;ARF3,ADP-ribosylation factor 1;ADP-ribosylation factor 3
P61221,ABCE1,ATP-binding cassette sub-family E member 1
P61224;A6NIZ1,RAP1B,Ras-related protein Rap-1b;Ras-related protein Rap-1b-like protein
P61225,RAP2B,Ras-related protein Rap-2b
P61247,RPS3A,40S ribosomal protein S3a
P61266,STX1B,Syntaxin-1B
P61289,PSME3,Proteasome activator complex subunit 3
P61313,RPL15,60S ribosomal protein L15
P61353,RPL27,60S ribosomal protein L27
P61421,ATP6V0D1,V-type proton ATPase subunit d 1
P61457,PCBD1,Pterin-4-alpha-carbinolamine dehydratase
P61513;A6NKH3,RPL37A,60S ribosomal protein L37a
P61586,RHOA,Transforming protein RhoA
P61601,NCALD,Neurocalcin-delta
P61604,HSPE1,"10 kDa heat shock protein, mitochondrial"
P61619;Q9H9S3,SEC61A1,Protein transport protein Sec61 subunit alpha isoform 1
P61758,VBP1,Prefoldin subunit 3
P61764,STXBP1,Syntaxin-binding protein 1
P61769,B2M,Beta-2-microglobulin;Beta-2-microglobulin form pI 5.3
P61812,TGFB2,Transforming growth factor beta-2;Latency-associated peptide
P61916,NPC2,Epididymal secretory protein E1
P61923,COPZ1,Coatomer subunit zeta-1
P61952;P63211,GNG11,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-11
P61956,SUMO2,Small ubiquitin-related modifier 2
P61960,UFM1,Ubiquitin-fold modifier 1
P61962,DCAF7,DDB1- and CUL4-associated factor 7
P61964;Q86VZ2,WDR5,WD repeat-containing protein 5
P61970,NUTF2,Nuclear transport factor 2
P61978,HNRNPK,Heterogeneous nuclear ribonucleoprotein K
P61981,YWHAG,"14-3-3 protein gamma;14-3-3 protein gamma, N-terminally processed"
P62070,RRAS2,Ras-related protein R-Ras2
P62072,TIMM10,Mitochondrial import inner membrane translocase subunit Tim10
P62081,RPS7,40S ribosomal protein S7
P62136,PPP1CA,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit
P62140,PPP1CB,Serine/threonine-protein phosphatase PP1-beta catalytic subunit
P62166,NCS1,Neuronal calcium sensor 1
P62191,PSMC1,26S protease regulatory subunit 4
P62195,PSMC5,26S protease regulatory subunit 8
P62241,RPS8,40S ribosomal protein S8
P62244,RPS15A,40S ribosomal protein S15a
P62249,RPS16,40S ribosomal protein S16
